Orcadas, https://en.wikipedia.org/wiki/Orcadas_Base, Laurie Island, https://en.wikipedia.org/wiki/Laurie_Island, Argentina, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png, 23, 14, Instituto Antartico Argentino, https://en.wikipedia.org/wiki/Instituto_Antartico_Argentino, 1903, 65, 35,  17, AQ ORC, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −3.0  
Palmer, https://en.wikipedia.org/wiki/Palmer_Station, Anvers Island, https://en.wikipedia.org/wiki/Anvers_Island, United States, https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 23, 12, United States Antarctic Program, https://en.wikipedia.org/wiki/United_States_Antarctic_Program, 1968, 46, 44,  13, AQ PLM, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −1.8  
Progress, https://en.wikipedia.org/wiki/Progress_Station, Prydz Bay, https://en.wikipedia.org/wiki/Prydz_Bay, Russia, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png, 23, 15, , , 1988, 50, 50,  25, AQ PRO, −5, https://en.wikipedia.org/wiki/UTC%E2%88%925, −9.4  
Rothera, https://en.wikipedia.org/wiki/Rothera_Research_Station, Adelaide Island, https://en.wikipedia.org/wiki/Adelaide_Island, United Kingdom, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 23, 12, British Antarctic Survey, https://en.wikipedia.org/wiki/British_Antarctic_Survey, 1975, 136, 160,  27, AQ ROT, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −5.3  
San Martín, https://en.wikipedia.org/wiki/San_Mart%C3%ADn_Base, Barry Island, https://en.wikipedia.org/wiki/Barry_Island_(Debenham_Islands), Argentina, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png, 23, 14, Instituto Antartico Argentino, https://en.wikipedia.org/wiki/Instituto_Antartico_Argentino, 1951, 21, 19,  21, AQ SMT, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −4.6  
SANAE IV, https://en.wikipedia.org/wiki/SANAE_IV, Vesleskarvet, https://en.wikipedia.org/wiki/Vesleskarvet, South Africa, https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/23px-Flag_of_South_Africa.svg.png, 23, 15, South African National Antarctic Programme, https://en.wikipedia.org/wiki/South_African_National_Antarctic_Programme, 1997, 80, 110,  15, AQ SNA, +2, https://en.wikipedia.org/wiki/UTC%2B2, −16.5  
Scott Base, https://en.wikipedia.org/wiki/Scott_Base, , , New Zealand, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/23px-Flag_of_New_Zealand.svg.png, 23, 12, , , 1957, 86, 78,  11, AQ SBA, +12, https://en.wikipedia.org/wiki/UTC%2B12, −19.6  
Showa, https://en.wikipedia.org/wiki/Showa_Station_(Antarctica), East Ongul Island, https://en.wikipedia.org/wiki/East_Ongul_Island, Japan, https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png, 23, 15, National Institute of Polar Research, https://en.wikipedia.org/wiki/National_Institute_of_Polar_Research, 1957, 130, 170,  40, AQ SYW, +3, https://en.wikipedia.org/wiki/UTC%2B3, −10.5  
Troll, https://en.wikipedia.org/wiki/Troll_(research_station), , , Norway, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/21px-Flag_of_Norway.svg.png, 21, 15, Norwegian Polar Institute, https://en.wikipedia.org/wiki/Norwegian_Polar_Institute, 1990, 70, 45,  7, AQ TRL, 0, https://en.wikipedia.org/wiki/UTC%2B0, −18.0  
Vernadsky, https://en.wikipedia.org/wiki/Vernadsky_Research_Base, Galindez Island, https://en.wikipedia.org/wiki/Galindez_Island, Ukraine United Kingdom, https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png, 23, 15, National Antarctic Scientific Center of Ukraine, https://en.wikipedia.org/wiki/National_Antarctic_Scientific_Center_of_Ukraine, 1994, 24, 30,  12, AQ VKY, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −3.3  
Vostok, https://en.wikipedia.org/wiki/Vostok_Station, Antarctic Ice Sheet, https://en.wikipedia.org/wiki/Antarctic_Ice_Sheet, Russia, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png, 23, 15, , , 1957, 30, 30,  15, AQ VOS, +6, https://en.wikipedia.org/wiki/UTC%2B6, −55.2  
Zhongshan, https://en.wikipedia.org/wiki/Zhongshan_Station_(Antarctica), Larsemann Hills, https://en.wikipedia.org/wiki/Larsemann_Hills, China, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png, 23, 15, Polar Research Institute of China, https://en.wikipedia.org/wiki/Polar_Research_Institute_of_China, 1989, 60, 60,  17, AQ ZGN, +7, https://en.wikipedia.org/wiki/UTC%2B7, −11.2  
